Customer_ID,Segment_Group
3970510100,D
3975207100,D
3976250100,B
3976726100,D
3978525100,D
3978735100,D
3978945100,D
3979246100,D
3979337100,B
3979400100,D
3979421100,B
3979561100,B
3980996100,B
3983397100,D
3984461100,B
3985819100,D
3987009100,B
3988759100,B
3993645100,D
3996361100,D
3997292100,D
4003333100,D
4003942100,B
4004810100,D
4008408100,D
4013469100,D
4014750100,B
4014813100,D
4015310100,D
4015464100,D
4015695100,D
4015863100,D
4016052100,D
4016465100,D
4016864100,D
4017144100,D
4017963100,B
4018005100,D
4018019100,D
4018236100,D
4018306100,B
4018467100,D
4018586100,D
4018593100,D
4018677100,B
4019258100,D
4019531100,D
4019566100,D
4019587100,D
4019594100,D
4019664100,D
4020315100,D
4020378100,B
4022499100,D
4022555100,D
4022779100,D
4022905100,D
4023129100,D
4023290100,D
4023416100,B
4023507100,D
4023906100,B
4023920100,B
4024039100,D
4024074100,B
4024487100,D
4024557100,D
4024662100,B
4024669100,D
4024816100,B
4024886100,D
4025355100,D
4025376100,B
4025411100,B
4025726100,B
4025733100,D
4025775100,B
4025831100,D
4026083100,D
4026433100,B
4026552100,D
4026783100,B
4027861100,D
4027973100,D
4027980100,B
4027994100,D
4028211100,B
4028386100,D
4029037100,B
4029247100,B
4029821100,D
4030794100,D
4031613100,D
4031690100,D
4032117100,D
4032516100,D
4033993100,D
4034511100,D
4034574100,D
4034651100,D
4035092100,D
4035253100,D
4035778100,D
4035785100,D
4036072100,D
4036226100,D
4036730100,B
4037500100,D
4037605100,D
4037906100,D
4038424100,B
4038788100,D
4039817100,D
4039971100,D
4040195100,D
4040412100,D
4040503100,D
4040650100,B
4041231100,A
4041322100,D
4041861100,B
4042372100,D
4042449100,D
4042603100,B
4043023100,D
4043261100,B
4043499100,D
4043555100,D
4043674100,D
4044010100,B
4044059100,D
4044122100,B
4045249100,D
4045284100,B
4045963100,B
4046376100,D
4046761100,D
4046964100,D
4047237100,D
4047776100,B
4047930100,D
4048077100,B
4048665100,D
4048791100,D
4049323100,D
4049470100,B
4050457100,D
4050947100,D
4051059100,D
4051283100,D
4051444100,D
4051745100,D
4051948100,B
4052004100,D
4052039100,D
4052795100,D
4053040100,D
4053117100,D
4053124100,D
4053467100,D
4054209100,D
4054300100,C
4055210100,D
4055987100,D
4056491100,B
4056792100,B
4056813100,D
4057310100,B
4058829100,D
4059214100,D
4059284100,D
4059795100,D
4060936100,D
4062210100,D
4064296100,D
4064716100,D
4065066100,D
4066438100,D
4067019100,D
4068790100,B
4068923100,A
4069679100,D
4072759100,D
4073333100,D
4074376100,D
4075104100,D
4076322100,B
4076791100,D
4077526100,D
4077974100,B
4078212100,B
4078380100,C
4078485100,B
4078912100,D
4084848100,D
4085205100,B
4086206100,B
4086738100,D
4087256100,B
4088040100,D
4090994100,D
4093451100,D
4093878100,D
4094046100,D
4096489100,D
4096881100,B
4097854100,D
4099401100,D
4100542100,D
4100640100,D
4101963100,D
4102838100,D
4104651100,D
4104665100,D
4105169100,B
4106443100,D
4107143100,D
4108732100,D
4109698100,D
4111840100,B
4111896100,D
4113156100,B
4113422100,D
4113534100,D
4114346100,D
4114906100,D
4115242100,B
4115312100,D
4115816100,D
4116201100,D
4117216100,D
4117398100,D
4117475100,D
4117496100,D
4117678100,B
4117909100,D
4118049100,D
4118588100,D
4118707100,D
4119512100,D
4120303100,B
4121388100,A
4122116100,A
4122137100,D
4122683100,B
4123509100,D
4124762100,D
4127471100,D
4127863100,B
4130558100,B
4130789100,D
4131125100,B
4131188100,D
4131545100,D
4132133100,D
4132224100,D
4132714100,B
4133183100,B
4134464100,D
4134492100,D
4135038100,D
4135339100,B
4136753100,D
4137586100,B
4137684100,D
4137873100,D
4137992100,B
4138041100,D
4138629100,D
4139077100,B
4140197100,D
4140491100,B
4140575100,D
4140680100,D
4140897100,D
4141597100,B
4141751100,D
4141863100,D
4142486100,B
4142591100,D
4143123100,D
4143137100,D
4143186100,D
4143438100,D
4143886100,D
4143998100,D
4144341100,D
4144418100,B
4145342100,B
4146651100,D
4147484100,D
4148156100,D
4148394100,D
4148422100,B
4148849100,D
4149052100,D
4150186100,D
4150494100,B
4151012100,B
4151187100,B
4151201100,B
4151397100,D
4151558100,B
4151803100,D
4152090100,D
4152118100,D
4152454100,D
4153392100,D
4153847100,D
4154288100,D
4155653100,D
4155849100,D
4156227100,C
4156619100,D
4156976100,D
4157172100,B
4157326100,D
4157963100,D
4158138100,D
4158201100,D
4158523100,D
4162506100,D
4162667100,D
4162856100,D
4163080100,D
4163213100,B
4164284100,D
4164851100,D
4165320100,D
4165726100,D
4165936100,D
4168197100,D
4169002100,D
4169191100,B
4169387100,D
4170409100,D
4170780100,D
4171599100,D
4172691100,D
4172880100,D
4173006100,D
4173202100,B
4174301100,D
4174406100,D
4174693100,D
4175645100,D
4177010100,B
4177122100,B
4177388100,B
4177906100,A
4177983100,B
4178095100,D
4179068100,D
4179131100,B
4179537100,D
4180139100,D
4180622100,D
4180776100,D
4181000100,D
4182162100,D
4182757100,D
4183016100,B
4183121100,B
4183184100,B
4183254100,D
4183933100,D
4184955100,B
4187293100,D
4187307100,B
4188112100,B
4188763100,D
4188994100,D
4189106100,D
4190023100,B
4190478100,B
4190744100,B
4190968100,B
4191577100,B
4191633100,D
4191864100,D
4191941100,B
4192473100,B
4192578100,D
4192690100,D
4192802100,D
4193817100,D
4194216100,D
4194258100,B
4194566100,D
4194776100,D
4194979100,B
4196414100,D
4196456100,D
4197002100,D
4197814100,B
4197842100,D
4198871100,D
4199326100,D
4199487100,D
4199914100,D
4200285100,B
4200894100,D
4200908100,B
4201517100,B
4201867100,B
4202322100,D
4202581100,B
4202595100,D
